Type,Date,Time,Location,City,County,Zip,Geocode
NFS,05/10/2013,1654,7900 Blk Elvaton Rd.,Glen Burnie,Anne Arundel,21061,"7900 Blk Elvaton Rd.
Glen Burnie 21061
(39.15703940800046, -76.62936982599967)"
NFS,09/24/2013,104,400 block of Secret Bend,Glen Burnie,Anne Arundel,21061,"400 block of Secret Bend
Glen Burnie 21061
(39.15703940800046, -76.62936982599967)"
NFS,04/28/2013,28,MD Rt. 100 & I-97,Glen Burnie,Anne Arundel,21061,"MD Rt. 100 &amp; I-97
Glen Burnie 21061
(39.15703940800046, -76.62936982599967)"
NFS,03/31/2013,15,Keeton Road,Elkridge,Howard,21075,"Keeton Road
Elkridge 21075
(39.18948096200046, -76.78650171799967)"
NFS - self inflicted,03/26/2013,1447,580 Trimble Rd.,Joppatowne,Harford,21085,"580 Trimble Rd.
Joppatowne 21085
(39.41866620100046, -76.34743815499968)"
NFS - self inflicted,11/11/2013,2125,5179 Raynor Ave,Linthicum,Anne Arundel,21090,"5179 Raynor Ave
Linthicum 21090
(39.22341536300047, -76.65924628899967)"
NFS,11/11/2013,2125,5179 Raynor Ave,Linthicum,Anne Arundel,21090,"5179 Raynor Ave
Linthicum 21090
(39.22341536300047, -76.65924628899967)"
NFS,01/25/2013,1625,150 Ridgely Rd West,Lutherville,Baltimore,21093,"150 Ridgely Rd West
Lutherville 21093
(39.442219500000476, -76.63706917599967)"
NFS,04/04/2013,1600,5400 York Rd.,Baltimore,Balto. City,21093,"5400 York Rd.
Baltimore 21093
(39.3556104270005, -76.60992214599963)"
NFS,01/19/2013,125,1600 Blk Annapolis Rd.,Odenton,Anne Arundel,21113,"1600 Blk Annapolis Rd.
Odenton 21113
(39.07779954300048, -76.70878783599966)"
NFS,02/10/2013,127,1600 Blk Annapolis Rd.,Odenton,Anne Arundel,21113,"1600 Blk Annapolis Rd.
Odenton 21113
(39.07779954300048, -76.70878783599966)"
NFS,01/19/2013,125,1600 Blk Annapolis Rd.,Odenton,Anne Arundel,21113,"1600 Blk Annapolis Rd.
Odenton 21113
(39.07779954300048, -76.70878783599966)"
NFS,07/23/2013,2115,700 block of Chapelview Dr,Odenton,Anne Arundel,21113,"700 block of Chapelview Dr
Odenton 21113
(39.07779954300048, -76.70878783599966)"
NFS,05/13/2013,30,S/B 795 @ Owwings Mills Blvd.,Owings Mills,Baltimore,21117,"S/B 795 @ Owwings Mills Blvd.
Owings Mills 21117
(39.41734868800046, -76.78600727499963)"
NFS,07/22/2013,1250,Carriage Hill Cir and Pikeswood Dr,Randallstown,Baltimore,21133,"Carriage Hill Cir and Pikeswood Dr
Randallstown 21133
(39.371542512000474, -76.81169913599967)"
NFS,10/17/2013,2104,3932 Sadie Rd,Baltimore,Baltimore,21133,"3932 Sadie Rd
Baltimore 21133
(39.37505809600049, -76.78541010299966)"
NFS,03/16/2013,0,9827 Southall Rd.,Woodlawn,Baltimore,21133,"9827 Southall Rd.
Woodlawn 21133
(39.38301344900049, -76.81996127199966)"
NFS,09/29/2013,1233,3447 Carriage Hill Circ,Randallstown,Baltimore,21133,"3447 Carriage Hill Circ
Randallstown 21133
(39.36935112700047, -76.81078007999963)"
NFS,11/14/2013,1630,8200 blk of Marlton Ct,Severn,Anne Arundel,21144,"8200 blk of Marlton Ct
Severn 21144
(39.126259390000484, -76.69088641399964)"
NFS,08/22/2013,2330,Meade Village Rd & Meade Village Cir,Severn,Anne Arundel,21144,"Meade Village Rd &amp; Meade Village Cir
Severn 21144
(39.126259390000484, -76.69088641399964)"
NFS,12/12/2013,1130,610 Sullivan Rd,Westminster,Carroll,21157,"610 Sullivan Rd
Westminster 21157
(39.60843549300046, -76.97239548099964)"
NFS,04/10/2013,48,800 Vine St.,Baltimore,Balto. City,21201,"800 Vine St.
Baltimore 21201
(39.2905966780005, -76.62992377899963)"
NFS,12/12/2013,807,22 N Poppleton St,Baltimore,Balto. City,21201,"22 N Poppleton St
Baltimore 21201
(39.289094097000486, -76.63219165199968)"
NFS,12/22/2013,315,300 Park Ave,Baltimore,Balto. City,21201,"300 Park Ave
Baltimore 21201
(39.29304885200048, -76.61813760799964)"
NFS,06/25/2013,1835,700 N Martin Luther King Blvd,Baltimore,Balto. City,21201,"700 N Martin Luther King Blvd
Baltimore 21201
(39.29883350200049, -76.62384982199967)"
NFS,08/04/2013,515,600 W Lexington St,Baltimore,Balto. City,21201,"600 W Lexington St
Baltimore 21201
(39.29167783200046, -76.62395122199968)"
NFS,02/23/2013,237,607 George St.,Baltimore,Balto. City,21201,"607 George St.
Baltimore 21201
(39.29558094300046, -76.62601521299968)"
NFS,09/02/2013,2300,100 S Greene St,Baltimore,Balto. City,21201,"100 S Greene St
Baltimore 21201
(39.29042875800047, -76.62378644499967)"
NFS,11/08/2013,2129,1133 Pennsylvania Ave,Baltimore,Balto. City,21201,"1133 Pennsylvania Ave
Baltimore 21201
(39.299333592000494, -76.62941188599967)"
NFS,06/25/2013,1835,700 N Martin Luther King Blvd,Baltimore,Balto. City,21201,"700 N Martin Luther King Blvd
Baltimore 21201
(39.29883350200049, -76.62384982199967)"
NFS,01/02/2013,1900,700 W. Fayette St,Baltimore,Balto. City,21201,"700 W. Fayette St
Baltimore 21201
(39.290179357000454, -76.62697604599964)"
NFS,02/12/2013,1929,1700 Madison Ave.,Baltimore,Balto. City,21201,"1700 Madison Ave.
Baltimore 21201
(39.30632804400045, -76.63101390199967)"
NFS,01/14/2013,1439,200 N. Fremont Ave.,Baltimore,Balto. City,21201,"200 N. Fremont Ave.
Baltimore 21201
(39.291172676000485, -76.63016696999966)"
NFS,10/11/2013,134,100 Penn St,Baltimore,Balto. City,21201,"100 Penn St
Baltimore 21201
(39.28747052900047, -76.62597468299964)"
NFS,06/26/2013,1958,734 W Cherry Blossom Way,Baltimore,Balto. City,21201,"734 W Cherry Blossom Way
Baltimore 21201
(39.29317473900045, -76.62954037399965)"
NFS,08/10/2013,2215,500 Orchard St,Baltimore,Balto. City,21201,"500 Orchard St
Baltimore 21201
(39.297693895000464, -76.62358940599967)"
NFS,01/14/2013,1439,200 N. Fremont Ave.,Baltimore,Balto. City,21201,"200 N. Fremont Ave.
Baltimore 21201
(39.291172676000485, -76.63016696999966)"
NFS,06/08/2013,158,400 W Fayette St,Baltimore,Balto. City,21201,"400 W Fayette St
Baltimore 21201
(39.29040552400045, -76.62111589299963)"
NFS,08/10/2013,2215,500 Orchard St,Baltimore,Balto. City,21201,"500 Orchard St
Baltimore 21201
(39.297693895000464, -76.62358940599967)"
NFS,09/03/2013,356,200 Harmison St,Baltimore,Balto. City,21202,"200 Harmison St
Baltimore 21202
(39.28495097400048, -76.64921807999963)"
NFS,08/19/2013,330,800 Guilford Ave,Baltimore,Balto. City,21202,"800 Guilford Ave
Baltimore 21202
(39.298840494000444, -76.61159943499968)"
NFS,08/17/2013,2141,1200 E Eager St,Baltimore,Balto. City,21202,"1200 E Eager St
Baltimore 21202
(39.301591173000475, -76.60190340299965)"
NFS,06/13/2013,2302,934 Webb Ct,Baltimore,Balto. City,21202,"934 Webb Ct
Baltimore 21202
(39.3006461170005, -76.60412386199965)"
NFS,05/26/2013,1627,900 E. Biddle St,Baltimore,Balto. City,21202,"900 E. Biddle St
Baltimore 21202
(39.30392773900047, -76.60488211099965)"
NFS,08/17/2013,2141,1200 E Eager St,Baltimore,Balto. City,21202,"1200 E Eager St
Baltimore 21202
(39.301591173000475, -76.60190340299965)"
NFS,08/06/2013,2341,1400 Guilford Ave,Baltimore,Balto. City,21202,"1400 Guilford Ave
Baltimore 21202
(39.29964000700045, -76.61163473999966)"
NFS,07/31/2013,2300,700 E Preston St,Baltimore,Balto. City,21202,"700 E Preston St
Baltimore 21202
(39.30484841300046, -76.60805203699965)"
NFS,08/19/2013,330,800 Guilford Ave,Baltimore,Balto. City,21202,"800 Guilford Ave
Baltimore 21202
(39.298840494000444, -76.61159943499968)"
NFS,09/08/2013,242,1100 Orleans St,Baltimore,Balto. City,21202,"1100 Orleans St
Baltimore 21202
(39.29488274200048, -76.60455797099968)"
NFS,01/04/2013,1455,1700 Barclay St.,Baltimore,Balto. City,21202,"1700 Barclay St.
Baltimore 21202
(39.309168317000456, -76.61082557999964)"
NFS,08/17/2013,2141,1200 E Eager St,Baltimore,Balto. City,21202,"1200 E Eager St
Baltimore 21202
(39.301591173000475, -76.60190340299965)"
NFS,09/08/2013,242,1100 Orleans St,Baltimore,Balto. City,21202,"1100 Orleans St
Baltimore 21202
(39.29488274200048, -76.60455797099968)"
NFS,01/30/2013,2001,500 E. Baltimore St.,Baltimore,Balto. City,21202,"500 E. Baltimore St.
Baltimore 21202
(39.28981804900047, -76.60852101699965)"
NFS,11/02/2013,1417,1300 Ensor St,Baltimore,Balto. City,21202,"1300 Ensor St
Baltimore 21202
(39.30508957900048, -76.60365721199963)"
NFS,06/20/2013,1628,"800 Abbott Ct,",Baltimore,Balto. City,21202,"800 Abbott Ct,
Baltimore 21202
(39.30115444600045, -76.60613332799966)"
NFS,08/29/2013,2222,1700 Ruxton Ave,Baltimore,Balto. City,21204,"1700 Ruxton Ave
Baltimore 21204
(39.307711361000486, -76.65502628399963)"
NFS,01/10/2013,2119,4500 Ashland Ave.,Baltimore,Balto. City,21205,"4500 Ashland Ave.
Baltimore 21205
(39.30188820100045, -76.55939117699967)"
NFS,07/31/2013,144,623 N Luzerne Ave,Baltimore,Balto. City,21205,"623 N Luzerne Ave
Baltimore 21205
(39.29856271500046, -76.58083514099962)"
NFS,06/22/2013,127,740 N Kenwood Ave,Baltimore,Balto. City,21205,"740 N Kenwood Ave
Baltimore 21205
(39.299868251000476, -76.57814571599965)"
NFS,06/22/2013,127,740 N Kenwood Ave,Baltimore,Balto. City,21205,"740 N Kenwood Ave
Baltimore 21205
(39.299868251000476, -76.57814571599965)"
NFS,08/19/2013,143,2700 Jefferson St,Baltimore,Balto. City,21205,"2700 Jefferson St
Baltimore 21205
(39.296878080000454, -76.57891198299967)"
NFS,06/22/2013,127,740 N Kenwood Ave,Baltimore,Balto. City,21205,"740 N Kenwood Ave
Baltimore 21205
(39.299868251000476, -76.57814571599965)"
NFS,06/22/2013,127,740 N Kenwood Ave,Baltimore,Balto. City,21205,"740 N Kenwood Ave
Baltimore 21205
(39.299868251000476, -76.57814571599965)"
NFS,08/09/2013,1821,2700 Jefferson St,Baltimore,Balto. City,21205,"2700 Jefferson St
Baltimore 21205
(39.296878080000454, -76.57891198299967)"
NFS,08/27/2013,2220,"1500 Lester Morton Ct,",Baltimore,Balto. City,21205,"1500 Lester Morton Ct,
Baltimore 21205
(39.29863427400045, -76.59750215299965)"
NFS,05/05/2013,1854,2900 E. Monument St.,Baltimore,Balto. City,21205,"2900 E. Monument St.
Baltimore 21205
(39.29909852700047, -76.57648182099967)"
NFS,09/29/2013,1828,2700 Ashland Ave,Baltimore,Balto. City,21205,"2700 Ashland Ave
Baltimore 21205
(39.301097736000486, -76.57944203299968)"
NFS,05/15/2013,1844,514 N. Glover St.,Baltimore,Balto. City,21205,"514 N. Glover St.
Baltimore 21205
(39.29737816900047, -76.58010574699966)"
NFS,04/10/2013,1911,1600 E. Madison St.,Baltimore,Balto. City,21205,"1600 E. Madison St.
Baltimore 21205
(39.29939812000049, -76.59576179999965)"
NFS,04/13/2013,2304,623 N. Eden St.,Baltimore,Balto. City,21205,"623 N. Eden St.
Baltimore 21205
(39.29666000900045, -76.59897079999968)"
NFS,12/28/2013,1259,500 McElderry St,Baltimore,Balto. City,21205,"500 McElderry St
Baltimore 21205
(39.29580601100048, -76.60374013299963)"
NFS,01/22/2013,2125,600 N. Milton Ave.,Baltimore,Balto. City,21205,"600 N. Milton Ave.
Baltimore 21205
(39.29783793000047, -76.58227549399965)"
NFS,10/09/2013,1950,2423 Monument St,Baltimore,Balto. City,21205,"2423 Monument St
Baltimore 21205
(39.29878280200046, -76.58293920799963)"
NFS,05/05/2013,1854,2900 E. Monument St.,Baltimore,Balto. City,21205,"2900 E. Monument St.
Baltimore 21205
(39.29909852700047, -76.57648182099967)"
NFS,09/12/2013,145,2600 E Monument St,Baltimore,Balto. City,21205,"2600 E Monument St
Baltimore 21205
(39.29893835900049, -76.58072221799966)"
NFS,07/23/2013,1700,1000 N Patterson Pk,Baltimore,Balto. City,21205,"1000 N Patterson Pk
Baltimore 21205
(39.30198178000046, -76.58536419599966)"
NFS,12/28/2013,1259,500 McElderry St,Baltimore,Balto. City,21205,"500 McElderry St
Baltimore 21205
(39.29580601100048, -76.60374013299963)"
NFS,07/26/2013,139,2712 Jefferson St,Baltimore,Balto. City,21205,"2712 Jefferson St
Baltimore 21205
(39.2968976680005, -76.57846144099966)"
NFS,09/22/2013,1145,2300 E Madison Ave,Baltimore,Balto. City,21205,"2300 E Madison Ave
Baltimore 21205
(39.299827921000485, -76.58473215799967)"
NFS,06/05/2013,1158,4705 Althea Ave,Baltimore,Balto. City,21206,"4705 Althea Ave
Baltimore 21206
(39.33228885200049, -76.55784827099967)"
NFS,05/11/2013,1855,4930 Belair Rd.,Baltimore,Balto. City,21206,"4930 Belair Rd.
Baltimore 21206
(39.335584378000476, -76.55534781999967)"
NFS,08/29/2013,2041,5900 Moravia Rd,Baltimore,Balto. City,21206,"5900 Moravia Rd
Baltimore 21206
(39.31748087800048, -76.54552576899965)"
NFS,06/30/2013,2324,5820 Moores Run Ct,Baltimore,Balto. City,21206,"5820 Moores Run Ct
Baltimore 21206
(39.33470633900049, -76.53633056099966)"
NFS,08/21/2013,1717,4100 Eierman Ave,Baltimore,Balto. City,21206,"4100 Eierman Ave
Baltimore 21206
(39.329945111000484, -76.56590387299963)"
NFS,12/31/2013,1700,4200 Woodlea Ave,Baltimore,Balto. City,21206,"4200 Woodlea Ave
Baltimore 21206
(39.33437420100046, -76.55687320699963)"
NFS,05/11/2013,1930,600 Whitmore Ave.,Baltimore,Balto. City,21206,"600 Whitmore Ave.
Baltimore 21206
(39.294749536000495, -76.65789531199965)"
NFS,04/08/2013,2017,Old Home Rd. & Meadow Rd.,Overlea,Baltimore,21206,"Old Home Rd. &amp; Meadow Rd.
Overlea 21206
(39.33572776000045, -76.54174844599964)"
NFS,06/30/2013,2324,5820 Moores Run Ct,Baltimore,Balto. City,21206,"5820 Moores Run Ct
Baltimore 21206
(39.33470633900049, -76.53633056099966)"
NFS,06/15/2013,1615,5500 Bowleys La,Baltimore,Balto. City,21206,"5500 Bowleys La
Baltimore 21206
(39.31914592600049, -76.55168125899968)"
NFS,01/31/2013,2136,5900 Radecke Ave.,Baltimore,Balto. City,21206,"5900 Radecke Ave.
Baltimore 21206
(39.330591764000474, -76.53284324299966)"
NFS,04/08/2013,2017,Old Home Rd. & Meadow Rd.,Overlea,Baltimore,21206,"Old Home Rd. &amp; Meadow Rd.
Overlea 21206
(39.33572776000045, -76.54174844599964)"
NFS,05/10/2013,1653,4900 Belair Rd.,Baltimore,Balto. City,21206,"4900 Belair Rd.
Baltimore 21206
(39.33452427900045, -76.55687689799964)"
NFS,06/15/2013,1615,5500 Bowleys La,Baltimore,Balto. City,21206,"5500 Bowleys La
Baltimore 21206
(39.31914592600049, -76.55168125899968)"
NFS,06/05/2013,1158,4705 Althea Ave,Baltimore,Balto. City,21206,"4705 Althea Ave
Baltimore 21206
(39.33228885200049, -76.55784827099967)"
NFS,07/15/2013,204,4500 Hamilton Ave.,Baltimore,Balto. City,21206,"4500 Hamilton Ave.
Baltimore 21206
(39.339287811000474, -76.54137294599963)"
NFS,02/14/2013,1837,4200 Nicholas Ave.,Baltimore,Balto. City,21206,"4200 Nicholas Ave.
Baltimore 21206
(39.32917256000047, -76.56398389199967)"
NFS,06/08/2013,0,1808 Woodlawn Dr,Woodlawn,Baltimore,21207,"1808 Woodlawn Dr
Woodlawn 21207
(39.317002681000474, -76.73729772799965)"
NFS,11/21/2013,1947,3900 Gwynn Oak Ave,Baltimore,Balto. City,21207,"3900 Gwynn Oak Ave
Baltimore 21207
(39.336154757000486, -76.69323101399965)"
NFS,05/04/2013,1451,5100 Windsor Mill Rd.,Baltimore,Balto. City,21207,"5100 Windsor Mill Rd.
Baltimore 21207
(39.30980783300049, -76.70487943099965)"
NFS,02/12/2013,2017,3317 St. Luke's Lane,Gwynn Oak,Baltimore,21207,"3317 St. Luke's Lane
Gwynn Oak 21207
(39.34118856500049, -76.72963688799967)"
NFS,12/02/2013,1923,3900 Gwynn Oak Ave,Baltimore,Balto. City,21207,"3900 Gwynn Oak Ave
Baltimore 21207
(39.336154757000486, -76.69323101399965)"
NFS,08/13/2013,226,4015 Maine Ave,Baltimore,Balto. City,21207,"4015 Maine Ave
Baltimore 21207
(39.32753338500049, -76.68761824999967)"
NFS,06/15/2013,144,1114 Ingleside Ave,Woodlawn,Baltimore,21207,"1114 Ingleside Ave
Woodlawn 21207
(39.29384912800049, -76.72990906699965)"
NFS,05/01/2013,231,4500 Franklintown Rd.,Baltimore,Balto. City,21207,"4500 Franklintown Rd.
Baltimore 21207
(39.3035706550005, -76.70935401599968)"
NFS,10/04/2013,1849,1413 Ingleside Ave,Woodlawn,Baltimore,21207,"1413 Ingleside Ave
Woodlawn 21207
(39.297206480000455, -76.72498329199965)"
NFS,05/21/2013,1451,3602 Gwynn Oak Ave,Baltimore,Balto. City,21207,"3602 Gwynn Oak Ave
Baltimore 21207
(39.331785305000494, -76.69546067999966)"
NFS - self inflicted,01/14/2013,1822,5600 Belle Ave.,Baltimore,Balto. City,21207,"5600 Belle Ave.
Baltimore 21207
(39.33934312100047, -76.70227066399963)"
NFS,11/20/2013,2136,1400 blk Barrett Rd,Woodlawn,Balto. City,21207,"1400 blk Barrett Rd
Woodlawn 21207
(39.324526336000474, -76.71670878199967)"
NFS,05/23/2013,2300,7006 Concord Road,Pikesville,Baltimore,21208,"7006 Concord Road
Pikesville 21208
(39.36073332600046, -76.71612548299964)"
NFS,08/14/2013,142,4003 Roland Ave,Baltimore,Balto. City,21211,"4003 Roland Ave
Baltimore 21211
(39.33748679500047, -76.63307614199965)"
NFS,02/22/2013,2126,5100 York Rd.,Baltimore,Balto. City,21212,"5100 York Rd.
Baltimore 21212
(39.35097311400045, -76.60975698199968)"
NFS,09/25/2013,1850,5900 Chinquapin Pkwy,Baltimore,Balto. City,21212,"5900 Chinquapin Pkwy
Baltimore 21212
(39.363660842000456, -76.59685908399968)"
NFS,09/25/2013,1850,5900 Chinquapin Pkwy,Baltimore,Balto. City,21212,"5900 Chinquapin Pkwy
Baltimore 21212
(39.363660842000456, -76.59685908399968)"
NFS,07/01/2013,1520,4400 Alhambra Ave,Baltimore,Balto. City,21212,"4400 Alhambra Ave
Baltimore 21212
(39.343597410000484, -76.60722339499966)"
NFS,07/24/2013,1247,502 Chateau Ave,Baltimore,Balto. City,21212,"502 Chateau Ave
Baltimore 21212
(39.350847503000466, -76.60911789899967)"
NFS,01/01/2013,2110,1400 N. Caroline St,Baltimore,Balto. City,21213,"1400 N. Caroline St
Baltimore 21213
(39.30680844400047, -76.59815624099963)"
NFS,04/25/2013,1538,3125 Pelham Ave.,Baltimore,Balto. City,21213,"3125 Pelham Ave.
Baltimore 21213
(39.32323652600047, -76.56875692299963)"
NFS,12/26/2013,2314,3117 Cliftmont Ave,Baltimore,Balto. City,21213,"3117 Cliftmont Ave
Baltimore 21213
(39.31928419900049, -76.57500805199965)"
NFS,07/30/2013,1817,2400 E Oliver St,Baltimore,Balto. City,21213,"2400 E Oliver St
Baltimore 21213
(39.30791809200048, -76.58411223099966)"
NFS,07/22/2013,1532,2500 E Preston St,Baltimore,Balto. City,21213,"2500 E Preston St
Baltimore 21213
(39.305857811000465, -76.58255204099964)"
NFS,03/03/2013,1030,1100 N. Montford Ave.,Baltimore,Balto. City,21213,"1100 N. Montford Ave.
Baltimore 21213
(39.30396806900046, -76.58406613899967)"
NFS,08/08/2013,2124,1200 N Caroline St,Baltimore,Balto. City,21213,"1200 N Caroline St
Baltimore 21213
(39.3042884030005, -76.59800644499967)"
NFS,06/20/2013,426,"2000 E Chase St,",Baltimore,Balto. City,21213,"2000 E Chase St,
Baltimore 21213
(39.303457609000475, -76.58974112699963)"
NFS,03/16/2013,47,2100 E. North Ave.,Baltimore,Balto. City,21213,"2100 E. North Ave.
Baltimore 21213
(39.31245808100044, -76.58834225699968)"
NFS,05/26/2013,49,1401 N Lakewood Ave,Baltimore,Balto. City,21213,"1401 N Lakewood Ave
Baltimore 21213
(39.3075124880005, -76.57996516799966)"
NFS,12/14/2013,1431,1400 N Luzerne Ave,Baltimore,Balto. City,21213,"1400 N Luzerne Ave
Baltimore 21213
(39.307048119000456, -76.58143547999964)"
NFS,01/10/2013,1040,2000 Hoffman St.,Baltimore,Balto. City,21213,"2000 Hoffman St.
Baltimore 21213
(39.30661831800046, -76.58991166499965)"
NFS,04/27/2013,42,2700 E. Chase St.,Baltimore,Balto. City,21213,"2700 E. Chase St.
Baltimore 21213
(39.303818273000445, -76.57963100599966)"
NFS,08/23/2013,1709,1400 E Lanvale St,Baltimore,Balto. City,21213,"1400 E Lanvale St
Baltimore 21213
(39.309414254000444, -76.59992343899967)"
NFS,07/09/2013,225,1800 E Lanvale St,Baltimore,Balto. City,21213,"1800 E Lanvale St
Baltimore 21213
(39.30970758500047, -76.59245129499965)"
NFS,02/05/2013,1649,2722 E. Biddle St.,Baltimore,Balto. City,21213,"2722 E. Biddle St.
Baltimore 21213
(39.30491754900049, -76.57914013499965)"
NFS,12/14/2013,1431,1400 N Luzerne Ave,Baltimore,Balto. City,21213,"1400 N Luzerne Ave
Baltimore 21213
(39.307048119000456, -76.58143547999964)"
NFS,06/10/2013,28,1800 Rutland Ave,Baltimore,Balto. City,21213,"1800 Rutland Ave
Baltimore 21213
(39.31105805900046, -76.59301591199966)"
NFS,01/26/2013,1442,1300 N. Broadway,Baltimore,Balto. City,21213,"1300 N. Broadway
Baltimore 21213
(39.305457970000475, -76.59485610599967)"
NFS,05/28/2013,1340,1345 N Patterson Pk,Baltimore,Balto. City,21213,"1345 N Patterson Pk
Baltimore 21213
(39.3066621050005, -76.58558484699967)"
NFS,06/27/2013,2107,3336 Elmora Ave,Baltimore,Balto. City,21213,"3336 Elmora Ave
Baltimore 21213
(39.3159183840005, -76.57605086699965)"
NFS,12/18/2013,1826,3200 Brendan Ave,Baltimore,Balto. City,21213,"3200 Brendan Ave
Baltimore 21213
(39.32220408100045, -76.56960269799964)"
NFS,08/03/2013,120,1500 Rutland Ave,Baltimore,Balto. City,21213,"1500 Rutland Ave
Baltimore 21213
(39.30788813200047, -76.59280619699967)"
NFS,06/29/2013,2039,2900 Edison Hwy,Baltimore,Balto. City,21213,"2900 Edison Hwy
Baltimore 21213
(39.31715578100045, -76.57296276699964)"
NFS,03/28/2013,1525,3117 Lawnview Ave.,Baltimore,Balto. City,21213,"3117 Lawnview Ave.
Baltimore 21213
(39.319784290000484, -76.57442845499963)"
NFS,08/13/2013,1941,3330 Dudley Ave,Baltimore,Balto. City,21213,"3330 Dudley Ave
Baltimore 21213
(39.32279405000048, -76.56428376499963)"
NFS,12/14/2013,1431,1400 N Luzerne Ave,Baltimore,Balto. City,21213,"1400 N Luzerne Ave
Baltimore 21213
(39.307048119000456, -76.58143547999964)"
NFS - self inflicted,06/25/2013,1912,Sinclair Ln and St. Lo Dr,Baltimore,Balto. City,21213,"Sinclair Ln and St. Lo Dr
Baltimore 21213
(39.31427420600045, -76.59054835099965)"
NFS,08/11/2013,2306,2300 E Hoffman St,Baltimore,Balto. City,21213,"2300 E Hoffman St
Baltimore 21213
(39.30681766200047, -76.58516195899966)"
NFS,12/14/2013,1431,1400 N Luzerne Ave,Baltimore,Balto. City,21213,"1400 N Luzerne Ave
Baltimore 21213
(39.307048119000456, -76.58143547999964)"
NFS,06/10/2013,28,1800 Rutland Ave,Baltimore,Balto. City,21213,"1800 Rutland Ave
Baltimore 21213
(39.31105805900046, -76.59301591199966)"
NFS,04/20/2013,2245,3300 Dudley Ave.,Baltimore,Balto. City,21213,"3300 Dudley Ave.
Baltimore 21213
(39.323244591000446, -76.56490369199963)"
NFS,06/17/2013,1756,1319 N Luzerne Ave,Baltimore,Balto. City,21213,"1319 N Luzerne Ave
Baltimore 21213
(39.30633255200047, -76.58131564299964)"
NFS,10/04/2013,1330,3800 Ravenwood Ave,Baltimore,Balto. City,21213,"3800 Ravenwood Ave
Baltimore 21213
(39.315698298000484, -76.56394384199967)"
NFS,09/19/2013,1404,1700 N Milton Ave,Baltimore,Balto. City,21213,"1700 N Milton Ave
Baltimore 21213
(39.31015927900046, -76.58300603999965)"
NFS,12/04/2013,1824,3212 Dudley Ave,Baltimore,Balto. City,21213,"3212 Dudley Ave
Baltimore 21213
(39.32378386000045, -76.56564230599963)"
NFS,06/17/2013,1756,1319 N Luzerne Ave,Baltimore,Balto. City,21213,"1319 N Luzerne Ave
Baltimore 21213
(39.30633255200047, -76.58131564299964)"
NFS,04/14/2013,430,3100 Erdman Ave.,Baltimore,Balto. City,21213,"3100 Erdman Ave.
Baltimore 21213
(39.32132053400045, -76.57307219499967)"
NFS,08/11/2013,2306,2300 E Hoffman St,Baltimore,Balto. City,21213,"2300 E Hoffman St
Baltimore 21213
(39.30681766200047, -76.58516195899966)"
NFS,03/16/2013,47,2100 E. North Ave.,Baltimore,Balto. City,21213,"2100 E. North Ave.
Baltimore 21213
(39.31245808100044, -76.58834225699968)"
NFS,01/08/2013,1758,3800 Mannasota Ave,Baltimore,Balto. City,21213,"3800 Mannasota Ave
Baltimore 21213
(39.32245974100044, -76.56684178699965)"
NFS,06/08/2013,2350,3437 Elmorra Ave,Baltimore,Balto. City,21213,"3437 Elmorra Ave
Baltimore 21213
(39.31587344500048, -76.57469002199963)"
NFS,11/24/2013,1736,4000 Boarman Ave,Baltimore,Balto. City,21213,"4000 Boarman Ave
Baltimore 21213
(39.33426260900046, -76.68378754699967)"
NFS,01/04/2013,1956,2900 Markley Ave.,Baltimore,Balto. City,21214,"2900 Markley Ave.
Baltimore 21214
(39.34217543000045, -76.57313674699964)"
NFS,01/27/2013,409,3000 Fleetwood Ave.,Baltimore,Balto. City,21214,"3000 Fleetwood Ave.
Baltimore 21214
(39.362197479000486, -76.55174117799965)"
NFS - self inflicted,06/12/2013,2042,3500 Woodland Ave,Baltimore,Balto. City,21215,"3500 Woodland Ave
Baltimore 21215
(39.342233044000466, -76.67338180699966)"
NFS,07/26/2013,2149,2518 Shirley Ave,Baltimore,Balto. City,21215,"2518 Shirley Ave
Baltimore 21215
(39.33526634800046, -76.66082078399967)"
NFS,11/07/2013,1120,5600 Park Heights Ave,Baltimore,Balto. City,21215,"5600 Park Heights Ave
Baltimore 21215
(39.35253329000045, -76.68463307699966)"
NFS,08/17/2013,258,4400 Park Heights Ave,Baltimore,Balto. City,21215,"4400 Park Heights Ave
Baltimore 21215
(39.33997111500048, -76.66673659899965)"
NFS,12/22/2013,141,3200 Grantley Ave,Baltimore,Balto. City,21215,"3200 Grantley Ave
Baltimore 21215
(39.33677764200047, -76.66886000099964)"
NFS,08/17/2013,258,4400 Park Heights Ave,Baltimore,Balto. City,21215,"4400 Park Heights Ave
Baltimore 21215
(39.33997111500048, -76.66673659899965)"
NFS,01/20/2013,1745,3700 Liberty Heights Ave.,Baltimore,Balto. City,21215,"3700 Liberty Heights Ave.
Baltimore 21215
(39.3264076050005, -76.67908329799963)"
NFS,02/02/2013,336,3411 Reisterstown Rd.,Baltimore,Balto. City,21215,"3411 Reisterstown Rd.
Baltimore 21215
(39.32685930000048, -76.65871441199965)"
NFS,04/24/2013,5,4017 Eldorado Ave.,Baltimore,Balto. City,21215,"4017 Eldorado Ave.
Baltimore 21215
(39.33491029300046, -76.68927523099967)"
