Type,Date,Time,Location,City,County,Zip,Geocode
NFS,09/06/2013,2224,4603 27th St,Mt. Rainier,Prince George's,20712,"4603 27th St
Mt. Rainier 20712
(38.94654528400048, -76.96950853399966)"
NFS,06/01/2013,200,2700 Allison St,Mt Rainier,Prince George's,20712,"2700 Allison St
Mt Rainier 20712
(38.94756257200049, -76.96896551199967)"
NFS,03/10/2013,2259,3400 Blk Rhode Island Ave.,Mount Rainier,Prince George's,20712,"3400 Blk Rhode Island Ave.
Mount Rainier 20712
(38.9434867330005, -76.96594698699965)"
NFS,10/25/2013,323,3831 9th St,North Beach,Calvert,20714,"3831 9th St
North Beach 20714
(38.71077339100049, -76.53807396299965)"
NFS,07/11/2013,1315,1700 block of Stourbridge Ct,Bowie,Prince George's,20721,"1700 block of Stourbridge Ct
Bowie 20721
(38.91835956700049, -76.79545766099966)"
NFS,10/23/2013,1600,9551 Washington Blvd,Savage,Howard,20723,"9551 Washington Blvd
Savage 20723
(39.12253092700047, -76.82565584999963)"
NFS,11/24/2013,30,Joan Pl & Maxfield Ct,Clinton,Prince George's,20735,"Joan Pl &amp; Maxfield Ct
Clinton 20735
(38.75721634700045, -76.89952923299967)"
NFS - self inflicted,01/19/2013,220,7503 Surrats Rd,Clinton,Prince George's,20735,"7503 Surrats Rd
Clinton 20735
(38.75026163400048, -76.87697268299968)"
NFS,03/09/2013,117,"3502 Kidder Rd.,",Clinton,Prince George's,20735,"3502 Kidder Rd.,
Clinton 20735
(38.71420719100047, -76.94683671899963)"
NFS - self inflicted,09/19/2013,2315,5621 61st Pl,Riverdale,Prince George's,20737,"5621 61st Pl
Riverdale 20737
(38.95644102600045, -76.91220604099965)"
NFS,10/22/2013,1912,6202 Carters Ln,Riverdale,Prince George's,20737,"6202 Carters Ln
Riverdale 20737
(38.95323768300045, -76.91174282399965)"
NFS,11/16/2013,237,6029 67th Place,Riverdale,Prince George's,20737,"6029 67th Place
Riverdale 20737
(38.961821030000465, -76.90016584799963)"
NFS,11/20/2013,2133,6309 64th St,Riverdale,Prince George's,20737,"6309 64th St
Riverdale 20737
(38.966499214000464, -76.90527234499967)"
NFS - self inflicted,02/23/2013,206,5007 Hollywood Rd.,College Park,Prince George's,20740,"5007 Hollywood Rd.
College Park 20740
(39.010143120000464, -76.92064420099967)"
NFS,02/12/2013,52,8706 36th Ave.,College Park,Prince George's,20740,"8706 36th Ave.
College Park 20740
(38.99833914500044, -76.94791525399967)"
NFS,11/27/2013,1400,5240 Marlboro Pike,Capitol Heights,Prince George's,20743,"5240 Marlboro Pike
Capitol Heights 20743
(38.86638213700047, -76.91673911799967)"
NFS,07/23/2013,1500,7811 Parston Dr,Capitol Heights,Prince George's,20743,"7811 Parston Dr
Capitol Heights 20743
(38.883325787000445, -76.90317903799968)"
NFS,05/26/2013,12,Hampton Park Blvd & Hampton Overlook Dr.,Capitol Heights,Prince George's,20743,"Hampton Park Blvd &amp; Hampton Overlook Dr.
Capitol Heights 20743
(38.883325787000445, -76.90317903799968)"
NFS,12/19/2013,1558,1103 Clovis Ave,Capitol Heights,Prince George's,20743,"1103 Clovis Ave
Capitol Heights 20743
(38.87598410100048, -76.92753945499965)"
NFS,07/18/2013,346,1214 Farmingdale Ave,Capitol Heights,Prince George's,20743,"1214 Farmingdale Ave
Capitol Heights 20743
(38.90713373500046, -76.91610190599965)"
NFS,05/07/2013,1702,1200 Blk Elfin Ave,Capitol Heights,Prince George's,20743,"1200 Blk Elfin Ave
Capitol Heights 20743
(38.883325787000445, -76.90317903799968)"
NFS,11/02/2013,405,1212 Mentor Ave,Capitol Heights,Prince George's,20743,"1212 Mentor Ave
Capitol Heights 20743
(38.873165619000474, -76.92128141299963)"
NFS,06/10/2013,1538,5946 Martin Luther King Hwy,Seat Pleasant,Prince George's,20743,"5946 Martin Luther King Hwy
Seat Pleasant 20743
(38.89816322100046, -76.90484065599964)"
NFS - self inflicted,03/19/2013,2018,1004 Drum Ave.,Capitol Heights,Prince George's,20743,"1004 Drum Ave.
Capitol Heights 20743
(38.876966997000466, -76.92503208999966)"
NFS,01/29/2013,2008,7200 Blk Hylton St.,Seat Pleasant,Prince George's,20743,"7200 Blk Hylton St.
Seat Pleasant 20743
(38.883325787000445, -76.90317903799968)"
NFS,05/26/2013,12,Hampton Park Blvd & Hampton Overlook Dr.,Capitol Heights,Prince George's,20743,"Hampton Park Blvd &amp; Hampton Overlook Dr.
Capitol Heights 20743
(38.883325787000445, -76.90317903799968)"
NFS,05/26/2013,12,Hampton Park Blvd & Hampton Overlook Dr.,Capitol Heights,Prince George's,20743,"Hampton Park Blvd &amp; Hampton Overlook Dr.
Capitol Heights 20743
(38.883325787000445, -76.90317903799968)"
NFS,09/27/2013,2257,1001 Glen Willow Dr,Capitol Heights,Prince George's,20743,"1001 Glen Willow Dr
Capitol Heights 20743
(38.90425569500047, -76.90162692899963)"
NFS,09/18/2013,1023,4909 Marlboro Pike,Capitol Heights,Prince George's,20743,"4909 Marlboro Pike
Capitol Heights 20743
(38.872372950000454, -76.92596653299967)"
NFS,10/01/2013,116,5915 Athena St,Capitol Heights,Prince George's,20743,"5915 Athena St
Capitol Heights 20743
(38.887135884000486, -76.90468624999966)"
NFS,09/27/2013,2257,1001 Glen Willow Dr,Capitol Heights,Prince George's,20743,"1001 Glen Willow Dr
Capitol Heights 20743
(38.90425569500047, -76.90162692899963)"
NFS,10/01/2013,956,1715 Arcadia Ave,Capitol Heights,Prince George's,20743,"1715 Arcadia Ave
Capitol Heights 20743
(38.8661632030005, -76.94083217799965)"
NFS - self inflicted,10/30/2013,1823,6440 Central Ave,Seat Pleasant,Prince George's,20743,"6440 Central Ave
Seat Pleasant 20743
(38.887144786000476, -76.89672256399967)"
NFS,05/06/2013,2140,914 Drum Ave.,Capitol Heights,Prince George's,20743,"914 Drum Ave.
Capitol Heights 20743
(38.87750741800045, -76.92433265399967)"
NFS,08/19/2013,40,12302 Parkton St,Ft. Washington,Prince George's,20744,"12302 Parkton St
Ft. Washington 20744
(38.71971394600047, -76.99708657699966)"
NFS,01/22/2013,2230,1200 blk of Palmer Rd,Ft. Washington,Prince George's,20744,"1200 blk of Palmer Rd
Ft. Washington 20744
(38.75803755300046, -76.98261877399966)"
NFS,07/10/2013,2323,Lindsay Rd at Leyte Dr,Oxon Hill,Prince George's,20745,"Lindsay Rd at Leyte Dr
Oxon Hill 20745
(38.79305379200048, -76.99209961499963)"
NFS,06/09/2013,41,5908 Sumner Ln,Forest Heights,Prince George's,20745,"5908 Sumner Ln
Forest Heights 20745
(38.807583500000476, -76.99708542399964)"
NFS,11/11/2013,1823,Silver Hill Rd & Pearl Dr,Suitland,Prince George's,20746,"Silver Hill Rd &amp; Pearl Dr
Suitland 20746
(38.838428846000454, -76.92153668599963)"
NFS,05/21/2013,2026,3051 Victory Lane,Suitland,Prince George's,20746,"3051 Victory Lane
Suitland 20746
(38.849230725000496, -76.92019707799966)"
NFS,06/07/2013,1728,5697 Suitland Rd,Suitland,Prince George's,20746,"5697 Suitland Rd
Suitland 20746
(38.83841440500049, -76.90755960299964)"
NFS,01/20/2013,225,4549 Dallas Pl,Suitland,Prince George's,20746,"4549 Dallas Pl
Suitland 20746
(38.838428846000454, -76.92153668599963)"
NFS,02/18/2013,1750,2512 Darel Dr,Suitland,Prince George's,20746,"2512 Darel Dr
Suitland 20746
(38.85475720700049, -76.93149846799963)"
NFS,04/30/2013,1311,4615 Silver Hill Rd.,Suitland,Prince George's,20746,"4615 Silver Hill Rd.
Suitland 20746
(38.845579993000456, -76.92748760199964)"
NFS,08/28/2013,1314,4164 Suitland Rd,Suitland,Prince George's,20746,"4164 Suitland Rd
Suitland 20746
(38.855856391000486, -76.94104450499964)"
NFS,01/01/2013,346,5300 Blk Allentown Rd.,Camp Springs,Prince George's,20746,"5300 Blk Allentown Rd.
Camp Springs 20746
(38.838428846000454, -76.92153668599963)"
NFS,04/30/2013,1311,4615 Silver Hill Rd.,Suitland,Prince George's,20746,"4615 Silver Hill Rd.
Suitland 20746
(38.845579993000456, -76.92748760199964)"
NFS,11/04/2013,2135,3521 Stewart Rd,Forestville,Prince George's,20746,"3521 Stewart Rd
Forestville 20746
(38.838428846000454, -76.92153668599963)"
NFS,10/23/2013,1758,2120 Brooks Dr,Capitol Heights,Prince George's,20746,"2120 Brooks Dr
Capitol Heights 20746
(38.856822423000494, -76.92081640299966)"
NFS,07/23/2013,1153,3910 Regency Pkwy,Suitland,Prince George's,20746,"3910 Regency Pkwy
Suitland 20746
(38.83751123400049, -76.91271943799967)"
NFS,01/27/2013,400,4423 Rena Rd.,Suitland,Prince George's,20746,"4423 Rena Rd.
Suitland 20746
(38.838428846000454, -76.92153668599963)"
NFS - self inflicted,01/07/2013,1030,5084 Silver Hill Ct.,Suitland,Prince George's,20747,"5084 Silver Hill Ct.
Suitland 20747
(38.8525848110005, -76.91513336999964)"
NFS,09/10/2013,1145,2950-A Donnell Dr,Forestville,Prince George's,20747,"2950-A Donnell Dr
Forestville 20747
(38.84928240700049, -76.88503632299967)"
NFS,10/06/2013,5,6012 Belwood St,District Heights,Prince George's,20747,"6012 Belwood St
District Heights 20747
(38.85779994100045, -76.90308572999965)"
NFS,08/12/2013,25,6212 Hil Mar Cir,Forestville,Prince George's,20747,"6212 Hil Mar Cir
Forestville 20747
(38.841407580000464, -76.89974872199963)"
NFS,12/07/2013,435,6035 Marlboro Pike,Forestville,Prince George's,20747,"6035 Marlboro Pike
Forestville 20747
(38.85622238600047, -76.90266867299965)"
NFS,02/28/2013,2318,3301 Walters Lane,Forestville,Prince George's,20747,"3301 Walters Lane
Forestville 20747
(38.844307218000495, -76.89199708499967)"
NFS,02/06/2013,255,5406 Marlboro Pike,Capitol Heights,Prince George's,20747,"5406 Marlboro Pike
Capitol Heights 20747
(38.864020721000486, -76.91459236299966)"
NFS,08/01/2013,1814,3307 Walters Ln,Forestville,Prince George's,20747,"3307 Walters Ln
Forestville 20747
(38.84425142300046, -76.89200729199968)"
NFS,08/01/2013,1814,3307 Walters Ln,Forestville,Prince George's,20747,"3307 Walters Ln
Forestville 20747
(38.84425142300046, -76.89200729199968)"
NFS,07/16/2013,1130,4400 block of Suitland Rd,Suitland,Prince George's,20747,"4400 block of Suitland Rd
Suitland 20747
(38.85371891900047, -76.88926633099965)"
NFS,06/01/2013,2015,2340 Kenton Pl,Temple Hills,Prince George's,20748,"2340 Kenton Pl
Temple Hills 20748
(38.83208677300047, -76.95538895399966)"
NFS,11/09/2013,121,3900 Bexley Pl,Temple Hills,Prince George's,20748,"3900 Bexley Pl
Temple Hills 20748
(38.8172686690005, -76.94323998899966)"
NFS,10/01/2013,1130,2364 Iverson St,Temple Hills,Prince George's,20748,"2364 Iverson St
Temple Hills 20748
(38.834576936000474, -76.95737119099965)"
NFS,02/02/2013,1932,6315 Old Branch Ave.,Clinton,Prince George's,20748,"6315 Old Branch Ave.
Clinton 20748
(38.803410202000464, -76.90669440899967)"
